dist_id,total_population,deaths,injured,mmi_max_dist,casualty,predicted,predicted_rate,predicted_den,index_cnt,index_rate,index_den,wpredicted,index_roof,index_wall
1,127461,1,4,4.3910974834,5,0.0960203681,0.0007533314,0.0000263499,4.6,4.6,4.2,0.0131219349,4.5,6.8
2,191817,0,5,4.0184677442,5,0.0239306471,0.0001247577,0.0000191172,3.8,3.6,4,0.0033576666,4.3,7
3,290254,0,6,3.7476714986,6,0.0830556152,0.000286148,0.0000491105,4.5,4.1,4.5,0.0006782818,6.5,6.6
4,812650,0,19,3.8869552738,19,0.1758171891,0.0002163504,0.0001092566,4.9,3.9,4.9,0.000068091,6.7,1.2
5,965370,2,48,5.2469581303,50,8.3945238621,0.0086956544,0.0045938597,7.1,5.8,6.7,0.168411805,7.3,9.3
6,763487,7,25,5.6466495278,32,5.5940869103,0.0073270231,0.0046829658,6.9,5.7,6.7,0.1883175124,6.2,8.1
7,163412,0,2,4.6729068271,2,0.0747439704,0.0004573958,0.0000829613,4.5,4.3,4.7,0.0248217155,3.6,6.9
8,101577,0,2,4.5719978614,2,0.0195555353,0.0001925193,0.0000290831,3.7,3.9,4.2,0.0295730292,2.4,6.9
9,158742,0,5,5.1180847174,5,0.9333134627,0.0058794362,0.0002683219,5.9,5.6,5.3,0.0461403166,5.2,5.8
10,182459,2,8,4.9750417416,10,0.2929612232,0.0016056277,0.0001918867,5.2,5,5.1,0.0470642522,4.3,6.7
11,105886,22,80,5.8083115235,102,6.3176958,0.0596650719,0.0018803954,6.9,6.8,6.3,0.086892739,6.1,1.7
12,147984,19,53,5.8478322504,72,1.9611352454,0.0132523465,0.0018202789,6.3,6,6.2,0.9679619139,4.9,7.8
13,206312,0,4,5.1985767038,4,0.4498461703,0.0021804169,0.0002825923,5.5,5.1,5.3,0.0917690918,4.4,7
14,317532,0,29,5.61025685,29,2.5125918749,0.0079128777,0.0010935654,6.4,5.8,6,0.0611088002,5.5,5.1
15,639284,0,17,5.886855007,17,1.3837410975,0.002164517,0.0011035689,6.1,5.1,6,0.0264039482,4.5,2.4
16,637328,0,24,6.3143461787,24,1.5441999306,0.0024229281,0.0013583157,6.1,5.2,6.1,0.0642153749,4.1,2.2
17,754777,1,19,6.7070757929,20,2.7250219019,0.0036103669,0.0023037298,6.5,5.4,6.4,0.1536321966,4.2,3
18,627580,0,10,7.0582725442,10,0.9940401316,0.0015839258,0.0009926939,5.9,5,5.9,0.2260372356,2.8,1
19,769729,1,50,7.2028053763,51,1.9925493258,0.0025886375,0.0015760339,6.3,5.2,6.2,0.3076855806,3.4,2
