p_code,mmi_max,total_population,index_cnt_vdc,index_rate_vdc,index_den_vdc
C-BAG-23-001,7.8,2182,10,10,10
C-BAG-23-002,7.76,5353,10,10,10
C-BAG-23-003,7.7,5056,10,10,10
C-BAG-23-004,7.41,2259,9.9,10,10
C-BAG-23-005,7.62,3248,10,10,10
C-BAG-23-006,7.43,7117,9.9,10,10
C-BAG-23-007,7.36,1831,9.9,10,10
C-BAG-23-008,7.52,4882,10,10,10
C-BAG-23-009,7.74,4526,10,10,10
C-BAG-23-010,7.68,4618,10,10,10
C-BAG-23-011,7.39,3551,9.9,10,10
C-BAG-23-012,7.66,4752,10,10,10
C-BAG-23-013,7.47,2497,10,10,10
C-BAG-23-014,7.72,5952,10,10,10
C-BAG-23-015,7.4,3780,9.9,10,10
C-BAG-23-016,7.58,5713,10,10,10
C-BAG-23-017,7.83,4286,10,10,10
C-BAG-23-018,7.54,4802,10,10,10
C-BAG-23-019,7.44,3297,9.9,10,10
C-BAG-23-020,7.52,3815,10,10,10
C-BAG-23-021,7.36,4026,9.9,10,10
C-BAG-23-022,7.48,1897,10,10,10
C-BAG-23-023,7.4,2926,9.9,10,10
C-BAG-23-024,7.39,3611,9.9,10,10
C-BAG-23-025,7.38,3431,9.9,10,10
C-BAG-23-026,7.34,1902,9.9,10,10
C-BAG-23-027,7.53,3847,10,10,10
C-BAG-23-028,7.69,2484,10,10,10
C-BAG-23-029,7.35,2564,9.9,10,10
C-BAG-23-030,7.51,5387,10,10,10
C-BAG-23-031,7.7,3443,10,10,10
C-BAG-23-032,7.56,2540,10,10,10
C-BAG-23-033,7.64,2553,10,10,10
C-BAG-23-034,7.62,5553,10,10,10
C-BAG-23-035,7.64,3372,10,10,10
C-BAG-23-036,7.66,2251,10,10,10
C-BAG-23-037,7.55,3347,10,10,10
C-BAG-23-038,7.59,2950,10,10,10
C-BAG-23-039,7.67,3009,10,10,10
C-BAG-23-040,7.71,3967,10,10,10
C-BAG-23-041,7.42,2590,9.9,10,10
C-BAG-23-042,7.91,3774,10,10,10
C-BAG-23-043,7.36,3305,9.9,10,10
C-BAG-23-044,7.59,4843,10,10,10
C-BAG-23-045,7.55,3393,10,10,10
C-BAG-23-046,7.52,7752,10,10,10
C-BAG-23-047,7.53,3255,10,10,10
C-BAG-23-048,7.64,5230,10,10,10
C-BAG-23-049,7.32,2582,9.9,10,10
C-BAG-23-050,7.59,3471,10,10,10
C-BAG-23-051,7.51,2952,10,10,10
C-BAG-23-052,7.58,1927,10,10,10
C-BAG-23-053,7.44,2481,9.9,10,10
C-BAG-23-054,7.49,1600,10,10,10
C-BAG-23-055,7.76,3371,10,10,10
C-BAG-23-056,7.43,2286,9.9,10,10
C-BAG-23-057,7.39,4092,9.9,10,10
C-BAG-23-058,7.8,9577,10,10,10
C-BAG-23-059,7.71,3274,10,10,10
C-BAG-23-060,7.46,2613,10,10,10
C-BAG-23-061,7.8,2564,10,10,10
C-BAG-23-062,7.55,3125,10,10,10
C-BAG-23-063,7.76,3805,10,10,10
C-BAG-23-064,7.54,2777,10,10,10
C-BAG-23-065,7.61,2520,10,10,10
C-BAG-23-066,7.6,3630,10,10,10
C-BAG-23-067,7.58,3141,10,10,10
C-BAG-23-068,7.31,6774,9.9,10,10
C-BAG-23-069,7.54,2762,10,10,10
C-BAG-23-070,7.41,1609,9.9,10,10
C-BAG-23-071,7.59,3439,10,10,10
C-BAG-23-072,7.43,3510,9.9,10,10
C-BAG-23-073,7.33,2635,9.9,10,10
C-BAG-23-074,7.67,4373,10,10,10
C-BAG-23-075,7.67,2115,10,10,10
C-BAG-23-076,7.63,2909,10,10,10
C-BAG-23-077,7.74,5987,10,10,10
C-BAG-23-078,7.52,3643,10,10,10
C-BAG-23-079,7.52,1507,10,10,10
C-BAG-24-001,7.9,7100,9,10,10
C-BAG-24-002,8.06,2695,9,10,10
C-BAG-24-003,7.95,2590,9,10,10
C-BAG-24-004,7.75,6023,8.9,10,10
C-BAG-24-005,8.26,4554,9.1,10,10
C-BAG-24-006,7.99,24764,9,9.5,10
C-BAG-24-007,7.7,1161,8.9,10,10
C-BAG-24-008,7.95,5524,9,10,10
C-BAG-24-009,7.8,1885,8.9,10,10
C-BAG-24-010,7.85,2272,8.9,10,10
C-BAG-24-011,7.81,2041,8.9,10,10
C-BAG-24-012,8.08,3941,9.1,10,10
C-BAG-24-013,8.01,3973,9,10,10
C-BAG-24-014,7.76,3265,8.9,10,10
C-BAG-24-015,7.69,2068,8.9,10,10
C-BAG-24-016,8.1,1629,9.1,10,10
C-BAG-24-017,8,2789,9,10,10
C-BAG-24-018,8.38,3104,9.2,10,10
C-BAG-24-019,7.99,2766,9,10,10
C-BAG-24-020,7.95,2684,9,10,10
C-BAG-24-021,7.97,7138,9,10,10
C-BAG-24-022,7.83,2652,8.9,10,10
C-BAG-24-023,8.06,14283,9,9.8,10
C-BAG-24-024,8.02,4916,9,10,10
C-BAG-24-025,7.7,1716,8.9,10,10
C-BAG-24-026,7.79,2126,8.9,10,10
C-BAG-24-027,7.76,1185,8.9,10,10
C-BAG-24-028,8.16,4234,9.1,10,10
C-BAG-24-029,8.18,2339,9.1,10,10
C-BAG-24-030,7.84,5374,8.9,10,10
C-BAG-24-031,8.22,2612,9.1,10,10
C-BAG-24-032,8.42,4837,9.2,10,10
C-BAG-24-033,7.78,2292,8.9,10,10
C-BAG-24-034,7.99,4613,9,10,10
C-BAG-24-035,7.94,2965,9,10,10
C-BAG-24-036,7.91,4878,9,10,10
C-BAG-24-037,8.04,3638,9,10,10
C-BAG-24-038,7.95,4376,9,10,10
C-BAG-24-039,7.79,3061,8.9,10,10
C-BAG-24-040,7.98,2399,9,10,10
C-BAG-24-041,8.01,4927,9,10,10
C-BAG-24-042,8.01,2394,9,10,10
C-BAG-24-043,7.96,4707,9,10,10
C-BAG-24-044,7.86,2389,8.9,10,10
C-BAG-24-045,7.98,1676,9,10,10
C-BAG-24-046,7.81,1322,8.9,10,10
C-BAG-24-047,7.9,1761,9,10,10
C-BAG-24-048,7.82,2753,8.9,10,10
C-BAG-24-049,8.08,7114,9.1,10,10
C-BAG-24-050,7.9,6110,9,10,10
C-BAG-24-051,7.84,1897,8.9,10,10
C-BAG-24-052,7.84,8166,8.9,10,10
C-BAG-24-053,7.97,2083,9,10,10
C-BAG-24-054,8.01,3470,9,10,10
C-BAG-24-055,8.26,3409,9.1,10,10
C-BAG-24-056,7.75,2669,8.9,10,10
C-BAG-24-057,7.98,3737,9,10,10
C-BAG-24-058,7.99,4458,9,10,10
C-BAG-24-059,8.01,4721,9,10,10
C-BAG-24-060,8.19,2693,9.1,10,10
C-BAG-24-061,7.66,2237,8.8,10,10
C-BAG-24-062,7.98,7198,9,10,10
C-BAG-24-063,8.18,6121,9.1,10,10
C-BAG-24-064,7.8,4417,8.9,10,10
C-BAG-24-065,8.15,27358,9.1,9.5,10
C-BAG-24-066,7.97,12339,9,9.9,10
C-BAG-24-067,8.01,4009,9,10,10
C-BAG-24-068,7.77,3176,8.9,10,10
C-BAG-24-069,7.84,2945,8.9,10,10
C-BAG-24-070,7.97,1988,9,10,10
C-BAG-24-071,7.95,4315,9,10,10
C-BAG-24-072,8.03,4302,9,10,10
C-BAG-24-073,8.19,2646,9.1,10,10
C-BAG-24-074,7.71,1763,8.9,10,10
C-BAG-24-075,8.24,1721,9.1,10,10
C-BAG-24-076,8.23,3372,9.1,10,10
C-BAG-24-077,7.75,1509,8.9,10,10
C-BAG-24-078,7.79,3246,8.9,10,10
C-BAG-24-079,8.1,2368,9.1,10,10
C-BAG-24-080,7.79,1071,8.9,10,10
C-BAG-24-081,7.83,5316,8.9,10,10
C-BAG-24-082,7.98,2657,9,10,10
C-BAG-24-083,8.03,3711,9,10,10
C-BAG-24-084,8.07,3819,9,10,10
C-BAG-24-085,7.73,1731,8.9,10,10
C-BAG-24-086,7.96,2878,9,10,10
C-BAG-24-087,7.96,1754,9,10,10
C-BAG-24-088,7.81,2476,8.9,10,10
C-BAG-24-089,7.97,4907,9,10,10
C-BAG-24-090,8.16,6953,9.1,10,10
C-BAG-25-001,8.19,1411,9.1,10,10
C-BAG-25-002,8.08,3576,9,10,10
C-BAG-25-003,8.14,2210,9,10,10
C-BAG-25-004,8.19,2057,9.1,10,10
C-BAG-25-005,7.79,4484,8.9,10,10
C-BAG-25-006,8.17,1697,9.1,10,10
C-BAG-25-007,7.77,5966,8.9,10,10
